
================================================= Netlist Information ==================================================

Total Gates : 100 || Total Pins : 4788 || Total Wires : 1232

=================================================== Gate Information ===================================================

Gate : 1 || Pos_X : 41 || Pos_Y 6 || Width : 17 || Height : 88
Pin : 1 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 17
Member : 1 || Parent Gate : 1 || Pin : 70
Member : 2 || Parent Gate : 54 || Pin : 7

Wire_Group : (56, 11) || X_min : 585 || Y_min : 58 || X_max : 653 || Y_max : 552 || Wire_Legth : 562 || Members : 2
Member : 1 || Parent Gate : 56 || Pin : 11
Member : 2 || Parent Gate : 7 || Pin : 81

Wire_Group : (16, 7) || X_min : 535 || Y_min : 141 || X_max : 915 || Y_max : 852 || Wire_Legth : 1091 || Members : 2
Member : 1 || Parent Gate : 16 || Pin : 7
Member : 2 || Parent Gate : 90 || Pin : 2

Wire_Group : (22, 60) || X_min : 158 || Y_min : 121 || X_max : 170 || Y_max : 271 || Wire_Legth : 162 || Members : 2
Member : 1 || Parent Gate : 22 || Pin : 60
Member : 2 || Parent Gate : 12 || Pin : 11

Wire_Group : (77, 32) || X_min : 524 || Y_min : 742 || X_max : 676 || Y_max : 946 || Wire_Legth : 356 || Members : 2
Member : 1 || Parent Gate : 96 || Pin : 7
Member : 2 || Parent Gate : 77 || Pin : 32

Wire_Group : (96, 17) || X_min : 325 || Y_min : 151 || X_max : 939 || Y_max : 973 || Wire_Legth : 1436 || Members : 3
Member : 1 || Parent Gate : 14 || Pin : 3
Member : 2 || Parent Gate : 96 || Pin : 17
Member : 3 || Parent Gate : 100 || Pin : 51

Wire_Group : (10, 4) || X_min : 800 || Y_min : 47 || X_max : 922 || Y_max : 473 || Wire_Legth : 548 || Members : 2
Member : 1 || Parent Gate : 48 || Pin : 89
Member : 2 || Parent Gate : 10 || Pin : 4

Wire_Group : (49, 18) || X_min : 385 || Y_min : 464 || X_max : 808 || Y_max : 570 || Wire_Legth : 529 || Members : 2
Member : 1 || Parent Gate : 54 || Pin : 85
Member : 2 || Parent Gate : 49 || Pin : 18

Wire_Group : (18, 8) || X_min : 375 || Y_min : 127 || X_max : 748 || Y_max : 150 || Wire_Legth : 396 || Members : 2
Member : 1 || Parent Gate : 14 || Pin : 4
Member : 2 || Parent Gate : 18 || Pin : 8

Wire_Group : (3, 11) || X_min : 17 || Y_min : 47 || X_max : 299 || Y_max : 750 || Wire_Legth : 985 || Members : 2
Member : 1 || Parent Gate : 71 || Pin : 1
Member : 2 || Parent Gate : 3 || Pin : 11

Wire_Group : (6, 37) || X_min : 161 || Y_min : 36 || X_max : 838 || Y_max : 930 || Wire_Legth : 1571 || Members : 3
Member : 1 || Parent Gate : 92 || Pin : 83
Member : 2 || Parent Gate : 39 || Pin : 14
Member : 3 || Parent Gate : 6 || Pin : 37

Wire_Group : (46, 41) || X_min : 50 || Y_min : 419 || X_max : 519 || Y_max : 857 || Wire_Legth : 907 || Members : 2
Member : 1 || Parent Gate : 81 || Pin : 39
Member : 2 || Parent Gate : 46 || Pin : 41

Wire_Group : (22, 34) || X_min : 158 || Y_min : 236 || X_max : 955 || Y_max : 630 || Wire_Legth : 1191 || Members : 2
Member : 1 || Parent Gate : 22 || Pin : 34
Member : 2 || Parent Gate : 70 || Pin : 72

Wire_Group : (97, 57) || X_min : 440 || Y_min : 228 || X_max : 661 || Y_max : 952 || Wire_Legth : 945 || Members : 2
Member : 1 || Parent Gate : 25 || Pin : 16
Member : 2 || Parent Gate : 97 || Pin : 57

Wire_Group : (60, 7) || X_min : 709 || Y_min : 253 || X_max : 953 || Y_max : 555 || Wire_Legth : 546 || Members : 2
Member : 1 || Parent Gate : 28 || Pin : 2
Member : 2 || Parent Gate : 60 || Pin : 7

Wire_Group : (45, 8) || X_min : 120 || Y_min : 42 || X_max : 411 || Y_max : 451 || Wire_Legth : 700 || Members : 2
Member : 1 || Parent Gate : 2 || Pin : 1
Member : 2 || Parent Gate : 45 || Pin : 8

Wire_Group : (92, 29) || X_min : 139 || Y_min : 861 || X_max : 247 || Y_max : 941 || Wire_Legth : 188 || Members : 2
Member : 1 || Parent Gate : 92 || Pin : 29
Member : 2 || Parent Gate : 83 || Pin : 24

Wire_Group : (18, 71) || X_min : 752 || Y_min : 127 || X_max : 879 || Y_max : 734 || Wire_Legth : 734 || Members : 2
Member : 1 || Parent Gate : 18 || Pin : 71
Member : 2 || Parent Gate : 79 || Pin : 8

Wire_Group : (72, 30) || X_min : 117 || Y_min : 648 || X_max : 273 || Y_max : 727 || Wire_Legth : 235 || Members : 2
Member : 1 || Parent Gate : 72 || Pin : 30
Member : 2 || Parent Gate : 63 || Pin : 27

Wire_Group : (51, 4) || X_min : 31 || Y_min : 537 || X_max : 227 || Y_max : 651 || Wire_Legth : 310 || Members : 2
Member : 1 || Parent Gate : 51 || Pin : 4
Member : 2 || Parent Gate : 63 || Pin : 10

Wire_Group : (49, 17) || X_min : 404 || Y_min : 80 || X_max : 808 || Y_max : 454 || Wire_Legth : 778 || Members : 2
Member : 1 || Parent Gate : 5 || Pin : 12
Member : 2 || Parent Gate : 49 || Pin : 17

Wire_Group : (67, 17) || X_min : 242 || Y_min : 349 || X_max : 652 || Y_max : 648 || Wire_Legth : 709 || Members : 2
Member : 1 || Parent Gate : 33 || Pin : 1
Member : 2 || Parent Gate : 67 || Pin : 17

Wire_Group : (27, 45) || X_min : 659 || Y_min : 256 || X_max : 704 || Y_max : 359 || Wire_Legth : 148 || Members : 2
Member : 1 || Parent Gate : 27 || Pin : 45
Member : 2 || Parent Gate : 38 || Pin : 14

Wire_Group : (7, 32) || X_min : 158 || Y_min : 4 || X_max : 653 || Y_max : 253 || Wire_Legth : 744 || Members : 2
Member : 1 || Parent Gate : 22 || Pin : 42
Member : 2 || Parent Gate : 7 || Pin : 32

Wire_Group : (86, 26) || X_min : 481 || Y_min : 755 || X_max : 514 || Y_max : 866 || Wire_Legth : 144 || Members : 2
Member : 1 || Parent Gate : 75 || Pin : 6
Member : 2 || Parent Gate : 86 || Pin : 26

Wire_Group : (68, 68) || X_min : 777 || Y_min : 548 || X_max : 786 || Y_max : 675 || Wire_Legth : 136 || Members : 2
Member : 1 || Parent Gate : 58 || Pin : 18
Member : 2 || Parent Gate : 68 || Pin : 68

Wire_Group : (37, 25) || X_min : 641 || Y_min : 368 || X_max : 989 || Y_max : 773 || Wire_Legth : 753 || Members : 2
Member : 1 || Parent Gate : 37 || Pin : 25
Member : 2 || Parent Gate : 80 || Pin : 68

Wire_Group : (39, 38) || X_min : 139 || Y_min : 372 || X_max : 861 || Y_max : 984 || Wire_Legth : 1334 || Members : 2
Member : 1 || Parent Gate : 92 || Pin : 58
Member : 2 || Parent Gate : 39 || Pin : 38

Wire_Group : (14, 5) || X_min : 82 || Y_min : 50 || X_max : 870 || Y_max : 983 || Wire_Legth : 1721 || Members : 9
Member : 1 || Parent Gate : 71 || Pin : 2
Member : 2 || Parent Gate : 33 || Pin : 2
Member : 3 || Parent Gate : 2 || Pin : 5
Member : 4 || Parent Gate : 73 || Pin : 16
Member : 5 || Parent Gate : 14 || Pin : 5
Member : 6 || Parent Gate : 93 || Pin : 68
Member : 7 || Parent Gate : 37 || Pin : 31
Member : 8 || Parent Gate : 65 || Pin : 14
Member : 9 || Parent Gate : 89 || Pin : 4

Wire_Group : (58, 2) || X_min : 8 || Y_min : 540 || X_max : 722 || Y_max : 975 || Wire_Legth : 1149 || Members : 2
Member : 1 || Parent Gate : 91 || Pin : 60
Member : 2 || Parent Gate : 58 || Pin : 2

Wire_Group : (42, 45) || X_min : 200 || Y_min : 328 || X_max : 999 || Y_max : 467 || Wire_Legth : 938 || Members : 2
Member : 1 || Parent Gate : 42 || Pin : 45
Member : 2 || Parent Gate : 40 || Pin : 23

Wire_Group : (41, 22) || X_min : 78 || Y_min : 464 || X_max : 706 || Y_max : 845 || Wire_Legth : 1009 || Members : 2
Member : 1 || Parent Gate : 41 || Pin : 22
Member : 2 || Parent Gate : 88 || Pin : 1

Wire_Group : (36, 14) || X_min : 567 || Y_min : 247 || X_max : 879 || Y_max : 763 || Wire_Legth : 828 || Members : 4
Member : 1 || Parent Gate : 36 || Pin : 14
Member : 2 || Parent Gate : 29 || Pin : 8
Member : 3 || Parent Gate : 39 || Pin : 5
Member : 4 || Parent Gate : 79 || Pin : 37

Wire_Group : (69, 4) || X_min : 496 || Y_min : 650 || X_max : 829 || Y_max : 658 || Wire_Legth : 341 || Members : 2
Member : 1 || Parent Gate : 65 || Pin : 17
Member : 2 || Parent Gate : 69 || Pin : 4

Wire_Group : (99, 4) || X_min : 524 || Y_min : 940 || X_max : 818 || Y_max : 952 || Wire_Legth : 306 || Members : 2
Member : 1 || Parent Gate : 96 || Pin : 2
Member : 2 || Parent Gate : 99 || Pin : 4

Wire_Group : (39, 12) || X_min : 389 || Y_min : 360 || X_max : 838 || Y_max : 956 || Wire_Legth : 1045 || Members : 2
Member : 1 || Parent Gate : 94 || Pin : 24
Member : 2 || Parent Gate : 39 || Pin : 12

Wire_Group : (9, 66) || X_min : 117 || Y_min : 8 || X_max : 859 || Y_max : 768 || Wire_Legth : 1502 || Members : 2
Member : 1 || Parent Gate : 72 || Pin : 25
Member : 2 || Parent Gate : 9 || Pin : 66

Wire_Group : (61, 7) || X_min : 38 || Y_min : 367 || X_max : 124 || Y_max : 678 || Wire_Legth : 397 || Members : 2
Member : 1 || Parent Gate : 61 || Pin : 7
Member : 2 || Parent Gate : 32 || Pin : 13

Wire_Group : (48, 60) || X_min : 500 || Y_min : 151 || X_max : 800 || Y_max : 444 || Wire_Legth : 593 || Members : 2
Member : 1 || Parent Gate : 15 || Pin : 6
Member : 2 || Parent Gate : 48 || Pin : 60

Wire_Group : (39, 7) || X_min : 623 || Y_min : 326 || X_max : 838 || Y_max : 766 || Wire_Legth : 655 || Members : 2
Member : 1 || Parent Gate : 77 || Pin : 24
Member : 2 || Parent Gate : 39 || Pin : 7

Wire_Group : (18, 29) || X_min : 176 || Y_min : 158 || X_max : 748 || Y_max : 350 || Wire_Legth : 764 || Members : 2
Member : 1 || Parent Gate : 32 || Pin : 17
Member : 2 || Parent Gate : 18 || Pin : 29

Wire_Group : (11, 18) || X_min : 35 || Y_min : 150 || X_max : 325 || Y_max : 167 || Wire_Legth : 307 || Members : 2
Member : 1 || Parent Gate : 11 || Pin : 18
Member : 2 || Parent Gate : 14 || Pin : 2

Wire_Group : (96, 11) || X_min : 35 || Y_min : 149 || X_max : 752 || Y_max : 942 || Wire_Legth : 1510 || Members : 5
Member : 1 || Parent Gate : 11 || Pin : 19
Member : 2 || Parent Gate : 32 || Pin : 23
Member : 3 || Parent Gate : 34 || Pin : 37
Member : 4 || Parent Gate : 96 || Pin : 11
Member : 5 || Parent Gate : 18 || Pin : 82

Wire_Group : (16, 28) || X_min : 385 || Y_min : 162 || X_max : 535 || Y_max : 584 || Wire_Legth : 572 || Members : 2
Member : 1 || Parent Gate : 54 || Pin : 99
Member : 2 || Parent Gate : 16 || Pin : 28

Wire_Group : (13, 3) || X_min : 241 || Y_min : 47 || X_max : 373 || Y_max : 152 || Wire_Legth : 237 || Members : 2
Member : 1 || Parent Gate : 13 || Pin : 3
Member : 2 || Parent Gate : 4 || Pin : 41

Wire_Group : (82, 23) || X_min : 108 || Y_min : 351 || X_max : 258 || Y_max : 854 || Wire_Legth : 653 || Members : 2
Member : 1 || Parent Gate : 82 || Pin : 23
Member : 2 || Parent Gate : 33 || Pin : 2

Wire_Group : (92, 92) || X_min : 161 || Y_min : 538 || X_max : 672 || Y_max : 939 || Wire_Legth : 912 || Members : 2
Member : 1 || Parent Gate : 92 || Pin : 92
Member : 2 || Parent Gate : 57 || Pin : 23

Wire_Group : (39, 25) || X_min : 120 || Y_min : 49 || X_max : 838 || Y_max : 371 || Wire_Legth : 1040 || Members : 2
Member : 1 || Parent Gate : 2 || Pin : 6
Member : 2 || Parent Gate : 39 || Pin : 25

Wire_Group : (21, 21) || X_min : 27 || Y_min : 258 || X_max : 258 || Y_max : 348 || Wire_Legth : 321 || Members : 2
Member : 1 || Parent Gate : 21 || Pin : 21
Member : 2 || Parent Gate : 33 || Pin : 3

Wire_Group : (40, 2) || X_min : 829 || Y_min : 307 || X_max : 901 || Y_max : 648 || Wire_Legth : 413 || Members : 2
Member : 1 || Parent Gate : 69 || Pin : 2
Member : 2 || Parent Gate : 40 || Pin : 2

Wire_Group : (65, 22) || X_min : 299 || Y_min : 52 || X_max : 496 || Y_max : 663 || Wire_Legth : 808 || Members : 2
Member : 1 || Parent Gate : 3 || Pin : 12
Member : 2 || Parent Gate : 65 || Pin : 22

Wire_Group : (77, 31) || X_min : 585 || Y_min : 539 || X_max : 676 || Y_max : 755 || Wire_Legth : 307 || Members : 3
Member : 1 || Parent Gate : 56 || Pin : 6
Member : 2 || Parent Gate : 57 || Pin : 21
Member : 3 || Parent Gate : 77 || Pin : 31

Wire_Group : (22, 16) || X_min : 142 || Y_min : 265 || X_max : 155 || Y_max : 548 || Wire_Legth : 296 || Members : 2
Member : 1 || Parent Gate : 22 || Pin : 16
Member : 2 || Parent Gate : 52 || Pin : 18

Wire_Group : (42, 44) || X_min : 200 || Y_min : 466 || X_max : 871 || Y_max : 651 || Wire_Legth : 856 || Members : 2
Member : 1 || Parent Gate : 42 || Pin : 44
Member : 2 || Parent Gate : 69 || Pin : 11

Wire_Group : (63, 23) || X_min : 273 || Y_min : 646 || X_max : 879 || Y_max : 774 || Wire_Legth : 734 || Members : 3
Member : 1 || Parent Gate : 63 || Pin : 23
Member : 2 || Parent Gate : 79 || Pin : 48
Member : 3 || Parent Gate : 76 || Pin : 14

Wire_Group : (1, 43) || X_min : 41 || Y_min : 62 || X_max : 881 || Y_max : 968 || Wire_Legth : 1746 || Members : 2
Member : 1 || Parent Gate : 1 || Pin : 43
Member : 2 || Parent Gate : 99 || Pin : 40

Wire_Group : (92, 91) || X_min : 90 || Y_min : 333 || X_max : 161 || Y_max : 938 || Wire_Legth : 676 || Members : 2
Member : 1 || Parent Gate : 31 || Pin : 4
Member : 2 || Parent Gate : 92 || Pin : 91

Wire_Group : (43, 1) || X_min : 49 || Y_min : 447 || X_max : 243 || Y_max : 868 || Wire_Legth : 615 || Members : 2
Member : 1 || Parent Gate : 81 || Pin : 19
Member : 2 || Parent Gate : 43 || Pin : 1

Wire_Group : (55, 8) || X_min : 417 || Y_min : 555 || X_max : 557 || Y_max : 737 || Wire_Legth : 322 || Members : 2
Member : 1 || Parent Gate : 55 || Pin : 8
Member : 2 || Parent Gate : 76 || Pin : 17

Wire_Group : (10, 19) || X_min : 155 || Y_min : 54 || X_max : 978 || Y_max : 561 || Wire_Legth : 1330 || Members : 4
Member : 1 || Parent Gate : 52 || Pin : 24
Member : 2 || Parent Gate : 8 || Pin : 9
Member : 3 || Parent Gate : 45 || Pin : 10
Member : 4 || Parent Gate : 10 || Pin : 19

Wire_Group : (79, 13) || X_min : 155 || Y_min : 565 || X_max : 879 || Y_max : 739 || Wire_Legth : 898 || Members : 2
Member : 1 || Parent Gate : 52 || Pin : 28
Member : 2 || Parent Gate : 79 || Pin : 13

Wire_Group : (48, 24) || X_min : 142 || Y_min : 232 || X_max : 700 || Y_max : 455 || Wire_Legth : 781 || Members : 2
Member : 1 || Parent Gate : 22 || Pin : 7
Member : 2 || Parent Gate : 48 || Pin : 24

Wire_Group : (47, 2) || X_min : 619 || Y_min : 446 || X_max : 891 || Y_max : 463 || Wire_Legth : 289 || Members : 2
Member : 1 || Parent Gate : 47 || Pin : 2
Member : 2 || Parent Gate : 49 || Pin : 24

Wire_Group : (54, 46) || X_min : 188 || Y_min : 531 || X_max : 385 || Y_max : 654 || Wire_Legth : 320 || Members : 2
Member : 1 || Parent Gate : 62 || Pin : 9
Member : 2 || Parent Gate : 54 || Pin : 46

Wire_Group : (30, 3) || X_min : 82 || Y_min : 54 || X_max : 973 || Y_max : 751 || Wire_Legth : 1588 || Members : 6
Member : 1 || Parent Gate : 71 || Pin : 3
Member : 2 || Parent Gate : 4 || Pin : 17
Member : 3 || Parent Gate : 8 || Pin : 23
Member : 4 || Parent Gate : 16 || Pin : 30
Member : 5 || Parent Gate : 6 || Pin : 24
Member : 6 || Parent Gate : 30 || Pin : 3

Wire_Group : (41, 31) || X_min : 78 || Y_min : 67 || X_max : 600 || Y_max : 475 || Wire_Legth : 930 || Members : 2
Member : 1 || Parent Gate : 41 || Pin : 31
Member : 2 || Parent Gate : 6 || Pin : 68

Wire_Group : (5, 1) || X_min : 404 || Y_min : 31 || X_max : 861 || Y_max : 332 || Wire_Legth : 758 || Members : 2
Member : 1 || Parent Gate : 5 || Pin : 1
Member : 2 || Parent Gate : 39 || Pin : 31

Wire_Group : (41, 27) || X_min : 78 || Y_min : 426 || X_max : 514 || Y_max : 841 || Wire_Legth : 851 || Members : 2
Member : 1 || Parent Gate : 41 || Pin : 27
Member : 2 || Parent Gate : 86 || Pin : 6

Wire_Group : (84, 47) || X_min : 389 || Y_min : 850 || X_max : 399 || Y_max : 950 || Wire_Legth : 110 || Members : 2
Member : 1 || Parent Gate : 94 || Pin : 22
Member : 2 || Parent Gate : 84 || Pin : 47

Wire_Group : (98, 47) || X_min : 200 || Y_min : 436 || X_max : 728 || Y_max : 971 || Wire_Legth : 1063 || Members : 2
Member : 1 || Parent Gate : 42 || Pin : 14
Member : 2 || Parent Gate : 98 || Pin : 47

Wire_Group : (35, 70) || X_min : 247 || Y_min : 377 || X_max : 435 || Y_max : 851 || Wire_Legth : 662 || Members : 2
Member : 1 || Parent Gate : 83 || Pin : 14
Member : 2 || Parent Gate : 35 || Pin : 70

Wire_Group : (17, 10) || X_min : 644 || Y_min : 159 || X_max : 752 || Y_max : 758 || Wire_Legth : 707 || Members : 2
Member : 1 || Parent Gate : 17 || Pin : 10
Member : 2 || Parent Gate : 78 || Pin : 8

Wire_Group : (100, 69) || X_min : 533 || Y_min : 352 || X_max : 960 || Y_max : 970 || Wire_Legth : 1045 || Members : 2
Member : 1 || Parent Gate : 36 || Pin : 5
Member : 2 || Parent Gate : 100 || Pin : 69

Wire_Group : (93, 133) || X_min : 270 || Y_min : 45 || X_max : 299 || Y_max : 988 || Wire_Legth : 972 || Members : 2
Member : 1 || Parent Gate : 93 || Pin : 133
Member : 2 || Parent Gate : 3 || Pin : 15

Wire_Group : (51, 21) || X_min : 69 || Y_min : 558 || X_max : 752 || Y_max : 758 || Wire_Legth : 883 || Members : 2
Member : 1 || Parent Gate : 51 || Pin : 21
Member : 2 || Parent Gate : 78 || Pin : 8

Wire_Group : (45, 37) || X_min : 90 || Y_min : 333 || X_max : 489 || Y_max : 435 || Wire_Legth : 501 || Members : 2
Member : 1 || Parent Gate : 31 || Pin : 4
Member : 2 || Parent Gate : 45 || Pin : 37

Wire_Group : (28, 49) || X_min : 399 || Y_min : 266 || X_max : 791 || Y_max : 840 || Wire_Legth : 966 || Members : 2
Member : 1 || Parent Gate : 84 || Pin : 37
Member : 2 || Parent Gate : 28 || Pin : 49

Wire_Group : (55, 7) || X_min : 417 || Y_min : 248 || X_max : 927 || Y_max : 550 || Wire_Legth : 812 || Members : 2
Member : 1 || Parent Gate : 55 || Pin : 7
Member : 2 || Parent Gate : 30 || Pin : 1

Wire_Group : (69, 5) || X_min : 561 || Y_min : 651 || X_max : 829 || Y_max : 672 || Wire_Legth : 289 || Members : 2
Member : 1 || Parent Gate : 66 || Pin : 46
Member : 2 || Parent Gate : 69 || Pin : 5

Wire_Group : (51, 14) || X_min : 31 || Y_min : 161 || X_max : 535 || Y_max : 572 || Wire_Legth : 915 || Members : 2
Member : 1 || Parent Gate : 51 || Pin : 14
Member : 2 || Parent Gate : 16 || Pin : 27

Wire_Group : (53, 28) || X_min : 268 || Y_min : 534 || X_max : 823 || Y_max : 591 || Wire_Legth : 612 || Members : 2
Member : 1 || Parent Gate : 53 || Pin : 28
Member : 2 || Parent Gate : 59 || Pin : 13

Wire_Group : (85, 51) || X_min : 437 || Y_min : 663 || X_max : 496 || Y_max : 815 || Wire_Legth : 211 || Members : 2
Member : 1 || Parent Gate : 85 || Pin : 51
Member : 2 || Parent Gate : 65 || Pin : 22

Wire_Group : (82, 70) || X_min : 31 || Y_min : 579 || X_max : 191 || Y_max : 861 || Wire_Legth : 442 || Members : 2
Member : 1 || Parent Gate : 51 || Pin : 17
Member : 2 || Parent Gate : 82 || Pin : 70

Wire_Group : (42, 40) || X_min : 200 || Y_min : 254 || X_max : 973 || Y_max : 462 || Wire_Legth : 981 || Members : 2
Member : 1 || Parent Gate : 42 || Pin : 40
Member : 2 || Parent Gate : 30 || Pin : 6

Wire_Group : (16, 22) || X_min : 268 || Y_min : 139 || X_max : 535 || Y_max : 521 || Wire_Legth : 649 || Members : 2
Member : 1 || Parent Gate : 53 || Pin : 23
Member : 2 || Parent Gate : 16 || Pin : 22

Wire_Group : (54, 56) || X_min : 278 || Y_min : 541 || X_max : 385 || Y_max : 750 || Wire_Legth : 316 || Members : 2
Member : 1 || Parent Gate : 73 || Pin : 12
Member : 2 || Parent Gate : 54 || Pin : 56

Wire_Group : (7, 14) || X_min : 646 || Y_min : 26 || X_max : 772 || Y_max : 53 || Wire_Legth : 153 || Members : 2
Member : 1 || Parent Gate : 7 || Pin : 14
Member : 2 || Parent Gate : 8 || Pin : 22

Wire_Group : (6, 78) || X_min : 299 || Y_min : 44 || X_max : 600 || Y_max : 52 || Wire_Legth : 309 || Members : 2
Member : 1 || Parent Gate : 3 || Pin : 12
Member : 2 || Parent Gate : 6 || Pin : 78

Wire_Group : (21, 11) || X_min : 27 || Y_min : 248 || X_max : 627 || Y_max : 845 || Wire_Legth : 1197 || Members : 2
Member : 1 || Parent Gate : 21 || Pin : 11
Member : 2 || Parent Gate : 87 || Pin : 3

Wire_Group : (49, 7) || X_min : 752 || Y_min : 141 || X_max : 808 || Y_max : 438 || Wire_Legth : 353 || Members : 2
Member : 1 || Parent Gate : 18 || Pin : 57
Member : 2 || Parent Gate : 49 || Pin : 7

Wire_Group : (19, 36) || X_min : 381 || Y_min : 151 || X_max : 822 || Y_max : 352 || Wire_Legth : 642 || Members : 2
Member : 1 || Parent Gate : 34 || Pin : 43
Member : 2 || Parent Gate : 19 || Pin : 36

Wire_Group : (29, 43) || X_min : 500 || Y_min : 147 || X_max : 892 || Y_max : 261 || Wire_Legth : 506 || Members : 2
Member : 1 || Parent Gate : 15 || Pin : 3
Member : 2 || Parent Gate : 29 || Pin : 43

Wire_Group : (93, 83) || X_min : 270 || Y_min : 78 || X_max : 404 || Y_max : 925 || Wire_Legth : 981 || Members : 2
Member : 1 || Parent Gate : 93 || Pin : 83
Member : 2 || Parent Gate : 5 || Pin : 10

Wire_Group : (69, 12) || X_min : 514 || Y_min : 652 || X_max : 871 || Y_max : 858 || Wire_Legth : 563 || Members : 3
Member : 1 || Parent Gate : 86 || Pin : 18
Member : 2 || Parent Gate : 87 || Pin : 6
Member : 3 || Parent Gate : 69 || Pin : 12

Wire_Group : (12, 11) || X_min : 69 || Y_min : 121 || X_max : 808 || Y_max : 917 || Wire_Legth : 1535 || Members : 5
Member : 1 || Parent Gate : 51 || Pin : 29
Member : 2 || Parent Gate : 12 || Pin : 11
Member : 3 || Parent Gate : 49 || Pin : 14
Member : 4 || Parent Gate : 93 || Pin : 3
Member : 5 || Parent Gate : 25 || Pin : 19

Wire_Group : (79, 32) || X_min : 8 || Y_min : 141 || X_max : 879 || Y_max : 968 || Wire_Legth : 1698 || Members : 3
Member : 1 || Parent Gate : 91 || Pin : 53
Member : 2 || Parent Gate : 17 || Pin : 14
Member : 3 || Parent Gate : 79 || Pin : 32

Wire_Group : (63, 22) || X_min : 229 || Y_min : 642 || X_max : 273 || Y_max : 934 || Wire_Legth : 336 || Members : 2
Member : 1 || Parent Gate : 93 || Pin : 19
Member : 2 || Parent Gate : 63 || Pin : 22

Wire_Group : (35, 88) || X_min : 318 || Y_min : 389 || X_max : 435 || Y_max : 395 || Wire_Legth : 123 || Members : 2
Member : 1 || Parent Gate : 34 || Pin : 25
Member : 2 || Parent Gate : 35 || Pin : 88

Wire_Group : (5, 3) || X_min : 326 || Y_min : 34 || X_max : 404 || Y_max : 67 || Wire_Legth : 111 || Members : 2
Member : 1 || Parent Gate : 4 || Pin : 20
Member : 2 || Parent Gate : 5 || Pin : 3

Wire_Group : (36, 6) || X_min : 533 || Y_min : 349 || X_max : 879 || Y_max : 770 || Wire_Legth : 767 || Members : 2
Member : 1 || Parent Gate : 36 || Pin : 6
Member : 2 || Parent Gate : 79 || Pin : 44

Wire_Group : (48, 28) || X_min : 257 || Y_min : 432 || X_max : 700 || Y_max : 446 || Wire_Legth : 457 || Members : 2
Member : 1 || Parent Gate : 43 || Pin : 11
Member : 2 || Parent Gate : 48 || Pin : 28

Wire_Group : (49, 12) || X_min : 465 || Y_min : 378 || X_max : 808 || Y_max : 458 || Wire_Legth : 423 || Members : 2
Member : 1 || Parent Gate : 35 || Pin : 150
Member : 2 || Parent Gate : 49 || Pin : 12

Wire_Group : (63, 25) || X_min : 273 || Y_min : 457 || X_max : 808 || Y_max : 645 || Wire_Legth : 723 || Members : 2
Member : 1 || Parent Gate : 63 || Pin : 25
Member : 2 || Parent Gate : 49 || Pin : 11

Wire_Group : (57, 22) || X_min : 82 || Y_min : 565 || X_max : 672 || Y_max : 751 || Wire_Legth : 776 || Members : 2
Member : 1 || Parent Gate : 71 || Pin : 3
Member : 2 || Parent Gate : 57 || Pin : 22

Wire_Group : (59, 17) || X_min : 793 || Y_min : 594 || X_max : 823 || Y_max : 858 || Wire_Legth : 294 || Members : 2
Member : 1 || Parent Gate : 88 || Pin : 21
Member : 2 || Parent Gate : 59 || Pin : 17

Wire_Group : (69, 8) || X_min : 399 || Y_min : 654 || X_max : 829 || Y_max : 861 || Wire_Legth : 637 || Members : 2
Member : 1 || Parent Gate : 84 || Pin : 58
Member : 2 || Parent Gate : 69 || Pin : 8

Wire_Group : (81, 4) || X_min : 49 || Y_min : 244 || X_max : 365 || Y_max : 841 || Wire_Legth : 913 || Members : 2
Member : 1 || Parent Gate : 81 || Pin : 4
Member : 2 || Parent Gate : 24 || Pin : 19

Wire_Group : (18, 86) || X_min : 8 || Y_min : 150 || X_max : 752 || Y_max : 916 || Wire_Legth : 1510 || Members : 2
Member : 1 || Parent Gate : 91 || Pin : 1
Member : 2 || Parent Gate : 18 || Pin : 86

Wire_Group : (5, 27) || X_min : 335 || Y_min : 42 || X_max : 496 || Y_max : 257 || Wire_Legth : 376 || Members : 2
Member : 1 || Parent Gate : 24 || Pin : 16
Member : 2 || Parent Gate : 5 || Pin : 27

Wire_Group : (18, 14) || X_min : 748 || Y_min : 126 || X_max : 960 || Y_max : 979 || Wire_Legth : 1065 || Members : 2
Member : 1 || Parent Gate : 18 || Pin : 14
Member : 2 || Parent Gate : 100 || Pin : 73

Wire_Group : (57, 23) || X_min : 672 || Y_min : 455 || X_max : 680 || Y_max : 538 || Wire_Legth : 91 || Members : 2
Member : 1 || Parent Gate : 57 || Pin : 23
Member : 2 || Parent Gate : 47 || Pin : 19

Wire_Group : (70, 61) || X_min : 939 || Y_min : 680 || X_max : 945 || Y_max : 937 || Wire_Legth : 263 || Members : 2
Member : 1 || Parent Gate : 100 || Pin : 15
Member : 2 || Parent Gate : 70 || Pin : 61

Wire_Group : (11, 35) || X_min : 65 || Y_min : 121 || X_max : 713 || Y_max : 750 || Wire_Legth : 1277 || Members : 4
Member : 1 || Parent Gate : 11 || Pin : 35
Member : 2 || Parent Gate : 71 || Pin : 2
